School Name,District/Charter Holder Name,Content Area,Number Tested,Percent Passing,Performance Level,Performance Percentage
Round Valley Middle School,Round Valley Unified District,Math,400,45,Percent Performance Level 1,29
RSD High School,"RSD Charter School, Inc.",Math,22,36,Percent Performance Level 1,45
Sacaton Middle School,Sacaton Elementary District,Math,237,8,Percent Performance Level 1,75
Ruth Fisher Elementary School,Saddle Mountain Unified School District,Math,483,36,Percent Performance Level 1,39
Tartesso Elementary School,Saddle Mountain Unified School District,Math,361,54,Percent Performance Level 1,26
Tonopah Valley High School,Saddle Mountain Unified School District,Math,363,38,Percent Performance Level 1,36
Dorothy Stinson School,Safford Unified District,Math,331,53,Percent Performance Level 1,17
Lafe Nelson School,Safford Unified District,Math,301,49,Percent Performance Level 1,25
Ruth Powell Elementary School,Safford Unified District,Math,308,64,Percent Performance Level 1,14
Safford High School,Safford Unified District,Math,532,39,Percent Performance Level 1,36
Safford Middle School,Safford Unified District,Math,428,39,Percent Performance Level 1,36
Sage Academy,"Sage Academy, Inc.",Math,60,48,Percent Performance Level 1,28
Anza Trail,Sahuarita Unified District,Math,1098,52,Percent Performance Level 1,25
Copper View Elementary School,Sahuarita Unified District,Math,298,60,Percent Performance Level 1,16
Sahuarita High School,Sahuarita Unified District,Math,687,21,Percent Performance Level 1,55
Sahuarita Intermediate School,Sahuarita Unified District,Math,696,46,Percent Performance Level 1,28
Sahuarita Middle School,Sahuarita Unified District,Math,799,35,Percent Performance Level 1,44
Sopori Elementary School,Sahuarita Unified District,Math,74,23,Percent Performance Level 1,46
Walden Grove High School,Sahuarita Unified District,Math,735,26,Percent Performance Level 1,47
Salome Elementary School,Salome Consolidated Elementary District,Math,84,14,Percent Performance Level 1,69
Salt River High School,Salt River Pima-Maricopa  Community Schools,Math,166,17,Percent Performance Level 1,60
San Simon School,San Simon Unified District,Math,86,30,Percent Performance Level 1,40
San Tan Charter School,"San Tan Montessori School, Inc.",Math,609,46,Percent Performance Level 1,34
Valley High School,Sanders Unified District,Math,156,10,Percent Performance Level 1,67
Little Red Schoolhouse,Santa Cruz Elementary District,Math,156,51,Percent Performance Level 1,25
Calabasas School,Santa Cruz Valley Unified District,Math,637,25,Percent Performance Level 1,51
Coatimundi Middle School,Santa Cruz Valley Unified District,Math,414,47,Percent Performance Level 1,35
Mountain View School,Santa Cruz Valley Unified District,Math,208,38,Percent Performance Level 1,31
Rio Rico High School,Santa Cruz Valley Unified District,Math,857,22,Percent Performance Level 1,62
San Cayetano Elementary School,Santa Cruz Valley Unified District,Math,298,44,Percent Performance Level 1,27
Satori Charter School,"Satori, Inc.",Math,132,52,Percent Performance Level 1,21
Scottsdale Country Day School,Scottsdale Country Day School,Math,69,83,Percent Performance Level 1,9
Great Hearts Academies - Scottsdale Prep,Scottsdale Preparatory Academy,Math,694,79,Percent Performance Level 1,8
Anasazi Elementary,Scottsdale Unified District,Math,267,87,Percent Performance Level 1,4
Arcadia High School,Scottsdale Unified District,Math,1211,42,Percent Performance Level 1,33
Chaparral High School,Scottsdale Unified District,Math,1392,54,Percent Performance Level 1,23
Cherokee Elementary School,Scottsdale Unified District,Math,310,82,Percent Performance Level 1,4
Cheyenne Traditional School,Scottsdale Unified District,Math,662,82,Percent Performance Level 1,6
Cochise Elementary School,Scottsdale Unified District,Math,297,81,Percent Performance Level 1,5
Cocopah Middle School,Scottsdale Unified District,Math,927,71,Percent Performance Level 1,13
Copper Ridge School,Scottsdale Unified District,Math,669,72,Percent Performance Level 1,11
Coronado High School,Scottsdale Unified District,Math,635,18,Percent Performance Level 1,59
Desert Canyon Elementary,Scottsdale Unified District,Math,263,84,Percent Performance Level 1,3
Desert Canyon Middle School,Scottsdale Unified District,Math,589,61,Percent Performance Level 1,22
Desert Mountain High School,Scottsdale Unified District,Math,1335,57,Percent Performance Level 1,22
Echo Canyon K-8,Scottsdale Unified District,Math,296,43,Percent Performance Level 1,32
Hohokam Traditional School,Scottsdale Unified District,Math,272,61,Percent Performance Level 1,20
Hopi Elementary School,Scottsdale Unified District,Math,455,83,Percent Performance Level 1,4
Ingleside Middle School,Scottsdale Unified District,Math,879,49,Percent Performance Level 1,33
Kiva Elementary School,Scottsdale Unified District,Math,231,78,Percent Performance Level 1,3
Laguna Elementary School,Scottsdale Unified District,Math,202,76,Percent Performance Level 1,8
Mohave Middle School,Scottsdale Unified District,Math,872,51,Percent Performance Level 1,27
Mountainside Middle School,Scottsdale Unified District,Math,664,65,Percent Performance Level 1,16
Navajo Elementary School,Scottsdale Unified District,Math,202,52,Percent Performance Level 1,24
Pima Elementary School,Scottsdale Unified District,Math,250,61,Percent Performance Level 1,17
Pueblo Elementary School,Scottsdale Unified District,Math,233,69,Percent Performance Level 1,9
Redfield Elementary School,Scottsdale Unified District,Math,251,70,Percent Performance Level 1,11
Saguaro High School,Scottsdale Unified District,Math,901,54,Percent Performance Level 1,21
Scottsdale Online Learning,Scottsdale Unified District,Math,33,39,Percent Performance Level 1,42
Sequoya Elementary School,Scottsdale Unified District,Math,252,79,Percent Performance Level 1,7
Tavan Elementary School,Scottsdale Unified District,Math,340,48,Percent Performance Level 1,22
Tonalea K-8,Scottsdale Unified District,Math,703,24,Percent Performance Level 1,55
Yavapai Elementary School,Scottsdale Unified District,Math,156,48,Percent Performance Level 1,27
Sedona Charter School,"Sedona Charter School, Inc.",Math,97,59,Percent Performance Level 1,19
Big Park Community School,Sedona-Oak Creek JUSD #9,Math,123,54,Percent Performance Level 1,20
Sedona Red Rock Junior/Senior High School,Sedona-Oak Creek JUSD #9,Math,351,25,Percent Performance Level 1,55
West Sedona Elementary School,Sedona-Oak Creek JUSD #9,Math,183,23,Percent Performance Level 1,54
Self Development Academy-Phoenix,Self Development Academy-Phoenix,Math,195,32,Percent Performance Level 1,45
Self Development Charter School,Self Development Charter School,Math,292,86,Percent Performance Level 1,3
Seligman Elementary School,Seligman Unified District,Math,46,28,Percent Performance Level 1,39
Seligman High School,Seligman Unified District,Math,39,23,Percent Performance Level 1,56
Sentinel Elementary School,Sentinel Elementary District,Math,21,43,Percent Performance Level 1,19
Linden Elementary School,Show Low Unified District,Math,94,47,Percent Performance Level 1,28
Nikolaus Homestead Elementary School,Show Low Unified District,Math,472,52,Percent Performance Level 1,27
Show Low High School,Show Low Unified District,Math,544,38,Percent Performance Level 1,39
Show Low Junior High School,Show Low Unified District,Math,591,32,Percent Performance Level 1,39
Bella Vista Elementary School,Sierra Vista Unified District,Math,226,50,Percent Performance Level 1,20
Buena High School,Sierra Vista Unified District,Math,1296,27,Percent Performance Level 1,52
Carmichael Elementary School,Sierra Vista Unified District,Math,219,34,Percent Performance Level 1,35
Huachuca Mountain Elementary School,Sierra Vista Unified District,Math,359,66,Percent Performance Level 1,11
Joyce Clark Middle School,Sierra Vista Unified District,Math,769,35,Percent Performance Level 1,43
Pueblo Del Sol Elementary School,Sierra Vista Unified District,Math,309,56,Percent Performance Level 1,17
Town & Country Elementary School,Sierra Vista Unified District,Math,220,35,Percent Performance Level 1,37
Village Meadows Elementary School,Sierra Vista Unified District,Math,278,43,Percent Performance Level 1,28
Skyview School,"Skyview School, Inc.",Math,143,54,Percent Performance Level 1,16
Highland Primary School,Snowflake Unified District,Math,122,66,Percent Performance Level 1,9
Snowflake High School,Snowflake Unified District,Math,505,49,Percent Performance Level 1,23
Snowflake Intermediate School,Snowflake Unified District,Math,387,67,Percent Performance Level 1,14
Snowflake Junior High School,Snowflake Unified District,Math,464,60,Percent Performance Level 1,24
Taylor Elementary School,Snowflake Unified District,Math,68,75,Percent Performance Level 1,7
Taylor Intermediate School,Snowflake Unified District,Math,203,68,Percent Performance Level 1,9
Solomon Elementary School,Solomon Elementary District,Math,126,45,Percent Performance Level 1,32
Desert Sonora Elementary School,Somerton Elementary District,Math,202,54,Percent Performance Level 1,27
Orange Grove Elementary School,Somerton Elementary District,Math,189,40,Percent Performance Level 1,38
Somerton Middle School,Somerton Elementary District,Math,982,33,Percent Performance Level 1,47
Tierra Del Sol Elementary School,Somerton Elementary District,Math,391,51,Percent Performance Level 1,21
Valle Del Encanto Learning Center,Somerton Elementary District,Math,211,43,Percent Performance Level 1,33
Elgin Elementary School,Sonoita Elementary District,Math,92,42,Percent Performance Level 1,29
South Phoenix Prep and Arts Academy,South Phoenix Academy Inc.,Math,96,32,Percent Performance Level 1,32
Southwest Leadership Academy,Southwest Leadership Academy,Math,90,4,Percent Performance Level 1,86
St David Elementary School,St David Unified District,Math,150,41,Percent Performance Level 1,31
St David High School,St David Unified District,Math,83,49,Percent Performance Level 1,28
Coronado Elementary School,St Johns Unified District,Math,62,73,Percent Performance Level 1,10
St Johns High School,St Johns Unified District,Math,174,43,Percent Performance Level 1,28
St Johns Middle School,St Johns Unified District,Math,297,62,Percent Performance Level 1,19
Stanfield Elementary School,Stanfield Elementary District,Math,319,18,Percent Performance Level 1,57
Stepping Stones Academy,Stepping Stones Academy,Math,143,63,Percent Performance Level 1,21
Las Puertas Community School,StrengthBuilding Partners,Math,50,22,Percent Performance Level 1,64
Arizona Charter Academy,Success School,Math,438,49,Percent Performance Level 1,24
Apollo Middle School,Sunnyside Unified District,Math,612,12,Percent Performance Level 1,73
Billy Lane Lauffer Middle School,Sunnyside Unified District,Math,749,16,Percent Performance Level 1,64
Challenger Middle School,Sunnyside Unified District,Math,765,14,Percent Performance Level 1,69
Craycroft Elementary School,Sunnyside Unified District,Math,291,31,Percent Performance Level 1,40
Desert View High School,Sunnyside Unified District,Math,1214,21,Percent Performance Level 1,60
Drexel Elementary School,Sunnyside Unified District,Math,328,24,Percent Performance Level 1,51
Elvira Elementary School,Sunnyside Unified District,Math,441,52,Percent Performance Level 1,25
Esperanza Elementary School,Sunnyside Unified District,Math,338,34,Percent Performance Level 1,37
Gallego Intermediate Fine Arts Magnet School,Sunnyside Unified District,Math,861,31,Percent Performance Level 1,41
Gallego Primary Fine Arts Magnet,Sunnyside Unified District,Math,162,75,Percent Performance Level 1,9
Liberty Elementary School,Sunnyside Unified District,Math,420,42,Percent Performance Level 1,30
Los Amigos Elementary School,Sunnyside Unified District,Math,367,48,Percent Performance Level 1,26
Los Ninos Elementary School,Sunnyside Unified District,Math,295,33,Percent Performance Level 1,34
Mission Manor Elementary School,Sunnyside Unified District,Math,380,34,Percent Performance Level 1,37
Rivera Elementary,Sunnyside Unified District,Math,337,42,Percent Performance Level 1,28
Santa Clara Elementary School,Sunnyside Unified District,Math,333,32,Percent Performance Level 1,42
Sierra 2-8 School,Sunnyside Unified District,Math,867,21,Percent Performance Level 1,57
Summit View Elementary,Sunnyside Unified District,Math,294,29,Percent Performance Level 1,43
John F Kennedy School,Superior Unified School District,Math,100,19,Percent Performance Level 1,45
Superior Junior/Senior High School,Superior Unified School District,Math,129,7,Percent Performance Level 1,83
