School Name,District/Charter Holder Name,Content Area,Test Level,Subgroup/Ethnicity,Number Tested,Percent Passing,Percent Performance Level 1,Percent Performance Level 2,Percent Performance Level 3,Percent Performance Level 4
Verde Valley Montessori School - A Center for Creative Education,A Center for Creative Education,English Language Arts,All,All Students,32,63,9,28,50,13
Verde Valley Montessori School - A Center for Creative Education,A Center for Creative Education,Math,All,All Students,32,38,22,41,22,16
Academy Del Sol,"Academy Del Sol, Inc.",English Language Arts,All,All Students,36,25,61,14,19,6
Academy Del Sol - Hope,"Academy Del Sol, Inc.",English Language Arts,All,All Students,346,51,32,17,42,8
Academy Del Sol - Hope,"Academy Del Sol, Inc.",Math,All,All Students,347,46,26,28,33,13
Academy of Building Industries,"Academy of Building Industries, Inc.",English Language Arts,All,All Students,55,16,64,20,15,2
Academy of Building Industries,"Academy of Building Industries, Inc.",Math,All,All Students,52,19,60,21,17,2
Academy of Mathematics and Science South,"Academy of Mathematics and Science South, Inc.",English Language Arts,All,All Students,320,32,43,25,28,4
Academy of Mathematics and Science South,"Academy of Mathematics and Science South, Inc.",Math,All,All Students,321,39,31,30,29,11
Academy of Math and Science,"Academy of Mathematics and Science, Inc.",English Language Arts,All,All Students,264,63,14,24,50,13
Academy of Math and Science,"Academy of Mathematics and Science, Inc.",Math,All,All Students,264,76,8,16,42,34
Academy of Math and Science Camelback,"Academy of Mathematics and Science, Inc.",English Language Arts,All,All Students,568,30,47,23,27,2
Academy of Math and Science Camelback,"Academy of Mathematics and Science, Inc.",Math,All,All Students,576,31,39,29,23,9
Academy of Tucson Elementary School,"Academy of Tucson, Inc.",English Language Arts,All,All Students,101,60,19,21,45,16
Academy of Tucson Elementary School,"Academy of Tucson, Inc.",Math,All,All Students,101,40,23,38,32,8
Academy of Tucson High School,"Academy of Tucson, Inc.",English Language Arts,All,All Students,122,54,26,20,34,20
Academy of Tucson High School,"Academy of Tucson, Inc.",Math,All,All Students,109,40,40,19,38,3
Academy of Tucson Middle School,"Academy of Tucson, Inc.",English Language Arts,All,All Students,263,58,20,22,43,16
Academy of Tucson Middle School,"Academy of Tucson, Inc.",Math,All,All Students,268,36,26,38,26,10
Accelerated Learning Laboratory,Accelerated Elementary and Secondary Schools,English Language Arts,All,All Students,105,51,26,23,37,14
Accelerated Learning Laboratory,Accelerated Elementary and Secondary Schools,Math,All,All Students,94,55,27,18,36,19
Accelerated Learning Center,"Accelerated Learning Center, Inc.",English Language Arts,All,All Students,178,22,60,17,20,3
ACCLAIM Academy,Acclaim Charter School,English Language Arts,All,All Students,245,29,45,26,27,2
ACCLAIM Academy,Acclaim Charter School,Math,All,All Students,246,23,42,35,19,4
Acorn Montessori Charter School,Acorn Montessori Charter School,English Language Arts,All,All Students,260,51,23,27,39,12
Acorn Montessori Charter School,Acorn Montessori Charter School,Math,All,All Students,261,56,22,22,36,20
Agua Fria High School,Agua Fria Union High School District,English Language Arts,All,All Students,1442,28,51,20,21,8
Agua Fria High School,Agua Fria Union High School District,Math,All,All Students,1343,33,46,22,23,9
Desert Edge High School,Agua Fria Union High School District,English Language Arts,All,All Students,1346,31,48,21,23,8
Desert Edge High School,Agua Fria Union High School District,Math,All,All Students,1144,33,45,22,26,7
Millennium High School,Agua Fria Union High School District,English Language Arts,All,All Students,1828,44,36,20,26,17
Millennium High School,Agua Fria Union High School District,Math,All,All Students,1667,38,41,22,26,12
Verrado High School,Agua Fria Union High School District,English Language Arts,All,All Students,1600,40,39,21,26,14
Verrado High School,Agua Fria Union High School District,Math,All,All Students,1474,40,38,22,27,13
Aguila Elementary School,Aguila Elementary District,English Language Arts,All,All Students,105,42,40,18,36,6
Aguila Elementary School,Aguila Elementary District,Math,All,All Students,105,46,35,19,32,13
Valiant Academy,"Ahwatukee Foothills Prep Early College High School, Inc.",English Language Arts,All,All Students,12,42,33,25,25,17
Ajo Elementary School,Ajo Unified District,English Language Arts,All,All Students,206,27,58,15,22,5
Ajo Elementary School,Ajo Unified District,Math,All,All Students,212,29,49,23,19,9
Ajo High School,Ajo Unified District,English Language Arts,All,All Students,104,31,55,14,22,9
Ajo High School,Ajo Unified District,Math,All,All Students,105,14,67,19,11,3
